,seed,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
0,860.0,0.05,1.0,1.0,0.01,0.9,400.0,4.034727152172846,3.2275598344591487,4.3378555616369825,3.5937442384776306
1,860.0,0.05,1.0,1.0,0.0,0.5,400.0,3.9937494661357382,3.2241662943037537,4.3346798826307795,3.609452116775633
2,860.0,0.05,1.0,2.0,0.01,0.9,400.0,4.058798033234162,3.2337095345870144,4.244385882348849,3.5095862293929314
3,860.0,0.05,1.0,2.0,0.0,0.5,400.0,4.020720448857395,3.245774989108537,4.139162222139356,3.4610685946828403
4,860.0,0.05,1.0,3.0,0.01,0.9,400.0,3.9979112237198575,3.1883516686755593,4.348370659955894,3.536081771429568
5,860.0,0.05,1.0,3.0,0.0,0.5,400.0,3.9569322683145765,3.217947408571185,4.259273297605781,3.5266490148879948
6,860.0,0.05,2.0,1.0,0.01,0.9,400.0,3.9870717878172415,3.1716051226248623,4.277257597876773,3.557675300230805
7,860.0,0.05,2.0,1.0,0.0,0.5,400.0,3.9586919641036418,3.21169858568233,4.236568354850919,3.5495626742559914
8,860.0,0.05,2.0,2.0,0.01,0.9,400.0,3.987476280068513,3.1832380558001656,4.297803440556202,3.5246402146686155
9,860.0,0.05,2.0,2.0,0.0,0.5,400.0,3.981105069626694,3.1727333018691164,4.227716616541475,3.4868385220447484
10,860.0,0.05,2.0,3.0,0.01,0.9,400.0,3.992964981603779,3.191255344314282,4.357347375269591,3.563477502529854
11,860.0,0.05,2.0,3.0,0.0,0.5,400.0,3.95681480062251,3.181029419462923,4.25929091496763,3.5195619110069325
12,860.0,0.05,3.0,1.0,0.01,0.9,400.0,3.9382118393983334,3.0914899175932855,4.453977212527807,3.65005898081294
13,860.0,0.05,3.0,1.0,0.0,0.5,400.0,3.8770884298833415,3.0645080029809733,4.468162948698417,3.637524004573382
14,860.0,0.05,3.0,2.0,0.01,0.9,400.0,3.864941905189432,3.0061504007731696,4.456200860279568,3.639613428270234
15,860.0,0.05,3.0,2.0,0.0,0.5,400.0,3.914030201567727,3.0747177254300078,4.377241643337068,3.5979075615786456
16,860.0,0.05,3.0,3.0,0.01,0.9,400.0,3.96071693949163,3.137941120224739,4.494587013705458,3.621991660182291
17,860.0,0.05,3.0,3.0,0.0,0.5,400.0,3.935184172669453,3.1361672021686693,4.394566603565793,3.5865548119063586
18,860.0,0.1,1.0,1.0,0.01,0.9,400.0,4.0485091694175885,3.2269717566184033,4.350549520043203,3.591403460815325
19,860.0,0.1,1.0,1.0,0.0,0.5,400.0,4.01182753007343,3.236790063076196,4.349225463622336,3.6141301608116154
20,860.0,0.1,1.0,2.0,0.01,0.9,400.0,4.007410676468015,3.2014461286575324,4.271876467310661,3.5011808107665034
21,860.0,0.1,1.0,2.0,0.0,0.5,400.0,4.009374090366137,3.2281341909300774,4.164863974553822,3.466417515346571
22,860.0,0.1,1.0,3.0,0.01,0.9,400.0,3.996044404470722,3.19905202029212,4.331424820937126,3.5415463191827636
23,860.0,0.1,1.0,3.0,0.0,0.5,400.0,3.9814155829984217,3.2400246233267325,4.246666704311719,3.507828032138466
24,860.0,0.1,2.0,1.0,0.01,0.9,400.0,3.939980762859235,3.144886479512376,4.293588643023263,3.584256249863014
25,860.0,0.1,2.0,1.0,0.0,0.5,400.0,3.9544654360844063,3.205847514326635,4.246004906970122,3.5534498295084695
26,860.0,0.1,2.0,2.0,0.01,0.9,400.0,3.9390885628887697,3.133122255510073,4.283957557251198,3.5194701796342684
27,860.0,0.1,2.0,2.0,0.0,0.5,400.0,3.9714425980673824,3.1566449460434853,4.24846437891232,3.498571321237247
28,860.0,0.1,2.0,3.0,0.01,0.9,400.0,3.929642981804226,3.105943363211987,4.436648527247027,3.6120378381601648
29,860.0,0.1,2.0,3.0,0.0,0.5,400.0,3.9475004474525126,3.160286152200352,4.273872218949867,3.526009650246852
30,860.0,0.1,3.0,1.0,0.01,0.9,400.0,3.988168846282781,3.142118081780612,4.4768539228161774,3.6474388576669092
31,860.0,0.1,3.0,1.0,0.0,0.5,400.0,3.8155322772350573,2.9720683173869067,4.463341871211102,3.634544284852901
32,860.0,0.1,3.0,2.0,0.01,0.9,400.0,3.8727057474799826,3.0394497191601983,4.348462905931893,3.5337700328669936
33,860.0,0.1,3.0,2.0,0.0,0.5,400.0,3.9037859388401657,3.0710830831491194,4.353506419062787,3.582614070172222
34,860.0,0.1,3.0,3.0,0.01,0.9,400.0,3.9768765132004718,3.147941804848794,4.513565062348236,3.6618495978427394
