,seed,target_column,target_instances,method,n_estimators,lr,tree_size,val_rmse,val_mae,rmse,mae
0,1,Hgv,95,TradaBoostR2,10,0.1,1,2.5576528330072867,1.8187050848680708,2.6553672657560274,1.870416888637095
0,2,Hgv,95,TradaBoostR2,10,0.1,1,2.04993386029215,1.4357895735811943,2.3036243763261197,1.6532523243386106
0,1,Hgv,95,TradaBoostR2,10,0.1,2,4.498420605600951,2.4669747904041217,5.544375557302204,2.6706309387537073
0,2,Hgv,95,TradaBoostR2,10,0.1,2,3.293804183747429,1.897817980750807,3.814597095664246,2.2360070509786465
0,1,Hgv,95,TradaBoostR2,10,0.1,3,5.477032929989034,2.9780681829284816,5.3467628869281745,2.8261402725412346
0,2,Hgv,95,TradaBoostR2,10,0.1,3,9.78412978428485,3.6329861230592537,11.1467521863712,4.489241704597889
0,1,Hgv,95,TradaBoostR2,10,0.1,4,4.282870027428171,2.5355412506080386,3.97183572704696,2.515111997063273
0,2,Hgv,95,TradaBoostR2,10,0.1,4,11.908151647317087,3.4144544258716785,8.871208709226243,3.671824887188855
0,1,Hgv,95,TradaBoostR2,10,0.1,5,5.92345338860999,3.256273336406944,4.943786431440586,3.0425743589301386
0,1,Hgv,95,TradaBoostR2,10,0.5,1,2.603335809037789,1.9104683060583862,2.696305662870104,1.9274822064754737
0,1,Hgv,95,TradaBoostR2,10,0.5,2,2.6528892956903487,1.9322047623477299,3.0979426137562425,1.990610936776177
0,2,Hgv,95,TradaBoostR2,10,0.1,5,23.19174960211445,6.897632748477146,54.11198106624278,10.836548910336626
0,2,Hgv,95,TradaBoostR2,10,0.5,1,2.3015012148922933,1.6524113127419384,2.485320940308646,1.839199006941685
0,1,Hgv,95,TradaBoostR2,10,0.5,3,3.5151056682765804,2.4169263785172963,3.871850229382024,2.440144619922334
0,2,Hgv,95,TradaBoostR2,10,0.5,2,2.5717363171353953,1.7448320448045662,7.361438685989336,2.4945931099450913
0,2,Hgv,95,TradaBoostR2,10,0.5,3,2.4588531529213604,1.780797642481822,4.462130045573072,2.2306944920961063
0,1,Hgv,95,TradaBoostR2,10,0.5,4,3.4566129234376777,2.293325768727624,3.3506606630116496,2.2549866856546608
0,2,Hgv,95,TradaBoostR2,10,0.5,4,5.605470421689318,2.6943477689820785,6.589875219635199,3.0466330026998643
0,1,Hgv,95,TradaBoostR2,10,0.5,5,4.1096493399065706,2.6727740190388096,6.2624856734091745,2.9065723624694013
0,1,Hgv,95,TradaBoostR2,10,1.0,1,3.584286391339505,2.6713892978631555,4.53558628750397,2.786434606566431
0,1,Hgv,95,TradaBoostR2,10,1.0,2,3.205073803054803,2.35392204840247,3.6264377909335686,2.3378050532829397
0,2,Hgv,95,TradaBoostR2,10,0.5,5,4.686122583389803,2.8672514437018806,4.680445897637815,2.7405199526821535
0,1,Hgv,95,TradaBoostR2,10,1.0,3,3.7393697005202,2.5676612966848245,4.170771464168064,2.6769771268792897
0,2,Hgv,95,TradaBoostR2,10,1.0,1,3.327148093035183,2.267418152577926,3.837244280799043,2.5241385691514915
0,1,Hgv,95,TradaBoostR2,10,0.1,1,2.5576528330072867,1.8187050848680708,2.6553672657560274,1.870416888637095
0,1,Hgv,95,TradaBoostR2,10,0.1,2,4.498420605600951,2.4669747904041217,5.544375557302204,2.6706309387537073
0,1,Hgv,95,TradaBoostR2,10,0.1,3,5.477032929989034,2.9780681829284816,5.3467628869281745,2.8261402725412346
