,seed,target_column,target_instances,method,n_estimators,lr,tree_size,val_rmse,val_mae,rmse,mae
0,2,Hgv,95,TradaBoostR2,10,0.1,1,4.763400552203492,3.7974467457501,5.384491013451109,4.13777249595803
0,1,Hgv,665,TradaBoostR2,10,0.1,1,3.126062580258872,2.4166540922046513,3.12577959512728,2.5091751567181717
0,2,Hgv,475,TradaBoostR2,10,0.1,1,3.343100254925486,2.6327467003644096,3.4398808932522336,2.5909126123300754
0,1,Hgv,95,TradaBoostR2,10,0.1,1,5.276649256508221,4.093152165361661,6.1975792832643775,4.322221710601341
0,1,Hgv,380,TradaBoostR2,10,0.1,1,3.590131295567532,2.8408981956924646,3.5889015752927205,2.8691552389427404
0,2,Hgv,95,TradaBoostR2,10,0.1,2,8.268593494425721,4.689993588511966,8.139624507217057,5.39513631846639
0,1,Hgv,665,TradaBoostR2,10,0.1,2,3.4187186702253354,2.5813898320784925,6.936515667815709,3.0575302565532647
0,2,Hgv,475,TradaBoostR2,10,0.1,2,3.2772079203936486,2.590615434667276,3.4357587073379197,2.630676990720338
0,1,Hgv,95,TradaBoostR2,10,0.1,2,17.700152088153697,7.166103659490615,30.73762049055101,8.838902813968216
0,1,Hgv,760,TradaBoostR2,10,0.1,1,3.0588757976553835,2.3923978110117368,3.0728201293083277,2.3669626058403366
0,1,Hgv,380,TradaBoostR2,10,0.1,2,4.739334765742808,3.1707340479420623,28.341757877118024,4.935049823289591
0,2,Hgv,95,TradaBoostR2,10,0.5,1,3.4588169291927837,2.6583313067436043,3.6073084654080216,2.7068104322630506
0,1,Hgv,665,TradaBoostR2,10,0.5,1,2.5589929403393765,1.9582201090232478,2.5066123579860364,1.9224168804221315
0,2,Hgv,475,TradaBoostR2,10,0.5,1,2.388898371434419,1.7605356978797346,2.256448947974029,1.7468001413104663
0,1,Hgv,95,TradaBoostR2,10,0.5,1,4.131227422299,3.2471084323313746,4.710655537540659,3.4235504306034223
0,1,Hgv,380,TradaBoostR2,10,0.5,1,2.898620541286866,2.207853202929989,3.0042412410788986,2.2746647949932948
0,1,Hgv,475,TradaBoostR2,10,0.1,1,3.3728430486251333,2.6468150977257183,3.471577475319334,2.769211936444626
0,2,Hgv,190,TradaBoostR2,10,0.1,1,4.146133803990026,3.3231941672739986,4.506240765975807,3.545742172655277
0,1,Hgv,760,TradaBoostR2,10,0.1,2,3.1179750810819,2.4252568316924696,3.9932028654342737,2.458542561906579
0,2,Hgv,95,TradaBoostR2,10,0.5,2,4.349370200244483,3.22424097771854,4.647132433359833,3.363903117732844
0,2,Hgv,475,TradaBoostR2,10,0.5,2,2.424544615023801,1.8187456616004491,2.5662198946560797,1.8678520547158253
0,1,Hgv,665,TradaBoostR2,10,0.5,2,2.624186264043285,2.0245416702987677,2.552779446468173,1.957639897327333
0,1,Hgv,95,TradaBoostR2,10,0.5,2,4.822090165424294,3.569713940655194,7.639582846963353,4.147994850903815
